# -------------------------------------------------------------------------
#     2019 12/20  15:19
# -------------------------------------------------------------------------
# frame length of x-direction[m]: 0.500    
# frame length of z-direction(/2, if isym=0)[m]: 0.200    
# minimum of x[m]: 0.200    
# isym=1 if updown symmtric, 0 otherwise:  0
# plasma current "Ip"[MA]: 0.360E-02
# position of mgnetic axis [m]: ( 0.332     0.247E-16)
# ellipticity "kappa":  1.46    
# triangularity "delta":-0.522E-01
# safety factor on magnetic axis "q0":  1.10    
# internal inductance "li":  1.21    
# poloidal beta "beta_p":  0.00    
# -------------------------------------------------------------------------
c   0.2620000E+00  0.3225000E+00  0.4081633E-02  0.4081633E-02
c   0.7200000E+00  0.3800000E+00  0.4081633E-02  0.4081633E-02
c   0.7200000E+00  0.1400000E+00  0.4081633E-02  0.4081633E-02
c   0.7200000E+00 -0.1400000E+00  0.4081633E-02  0.4081633E-02
c   0.7200000E+00 -0.3800000E+00  0.4081633E-02  0.4081633E-02
c   0.2620000E+00 -0.3225000E+00  0.4081633E-02  0.4081633E-02
l   0.2400000E+00 -0.1650000E+00  0.4081633E-03  0.4081633E-03
l   0.2400000E+00 -0.1550000E+00  0.4081633E-03  0.4081633E-03
l   0.2400000E+00 -0.1450000E+00  0.4081633E-03  0.4081633E-03
l   0.2400000E+00 -0.1350000E+00  0.4081633E-03  0.4081633E-03
l   0.2400000E+00 -0.1250000E+00  0.4081633E-03  0.4081633E-03
l   0.2400000E+00 -0.1150000E+00  0.4081633E-03  0.4081633E-03
l   0.2400000E+00 -0.1050000E+00  0.4081633E-03  0.4081633E-03
l   0.2400000E+00 -0.9500000E-01  0.4081633E-03  0.4081633E-03
l   0.2400000E+00 -0.8500000E-01  0.4081633E-03  0.4081633E-03
l   0.2400000E+00 -0.7500000E-01  0.4081633E-03  0.4081633E-03
l   0.2400000E+00 -0.6500000E-01  0.4081633E-03  0.4081633E-03
l   0.2400000E+00 -0.5500000E-01  0.4081633E-03  0.4081633E-03
l   0.2400000E+00 -0.4500000E-01  0.4081633E-03  0.4081633E-03
l   0.2400000E+00 -0.3500000E-01  0.4081633E-03  0.4081633E-03
l   0.2400000E+00 -0.2500000E-01  0.4081633E-03  0.4081633E-03
l   0.2400000E+00 -0.1500000E-01  0.4081633E-03  0.4081633E-03
l   0.2400000E+00 -0.5000000E-02  0.4081633E-03  0.4081633E-03
l   0.2400000E+00  0.5000000E-02  0.4081633E-03  0.4081633E-03
l   0.2400000E+00  0.1500000E-01  0.4081633E-03  0.4081633E-03
l   0.2400000E+00  0.2500000E-01  0.4081633E-03  0.4081633E-03
l   0.2400000E+00  0.3500000E-01  0.4081633E-03  0.4081633E-03
l   0.2400000E+00  0.4500000E-01  0.4081633E-03  0.4081633E-03
l   0.2400000E+00  0.5500000E-01  0.4081633E-03  0.4081633E-03
l   0.2400000E+00  0.6500000E-01  0.4081633E-03  0.4081633E-03
l   0.2400000E+00  0.7500000E-01  0.4081633E-03  0.4081633E-03
l   0.2400000E+00  0.8500000E-01  0.4081633E-03  0.4081633E-03
l   0.2400000E+00  0.9500000E-01  0.4081633E-03  0.4081633E-03
l   0.2400000E+00  0.1050000E+00  0.4081633E-03  0.4081633E-03
l   0.2400000E+00  0.1150000E+00  0.4081633E-03  0.4081633E-03
l   0.2400000E+00  0.1250000E+00  0.4081633E-03  0.4081633E-03
l   0.2400000E+00  0.1350000E+00  0.4081633E-03  0.4081633E-03
l   0.2400000E+00  0.1450000E+00  0.4081633E-03  0.4081633E-03
l   0.2400000E+00  0.1550000E+00  0.4081633E-03  0.4081633E-03
